"Area","Country","PersonID","Gender","DOB","Surname","GivenName","School","GP"
"Abbey","England","0","Female","1961-03-02 00:00:00","Todd","Grace","Abbey School","Abbey GP"
"Abbey","England","1","Female","2007-03-24 00:00:00","Howell","Louise","Abbey School","Abbey GP"
"Abbey","England","2","Female","1989-10-11 00:00:00","Foster","Demi","Abbey School","Abbey GP"
"Bagley","England","3","Female","1948-06-06 00:00:00","Price","Maya","Bagley School","Bagely GP"
"Bagley","England","4","Male","1988-01-19 00:00:00","Noble","John","Bagley School","Bagely GP"
"Bagley","England","5","Male","1975-02-24 00:00:00","Buckley","Nicholas","Bagley School","Bagely GP"
"Battlefield","England","6","Female","1989-04-11 00:00:00","Burgess","Megan","Battlefield School","Battlefield GP"
"Battlefield","England","7","Female","1958-05-17 00:00:00","Bibi","Abigail","Battlefield GP"
"Battlefield","England","8","Female","1977-05-29 00:00:00","Bray","Victoria","Battlefield School","Battlefield GP"
"Belle Vue","England","9","Male","1989-08-06 00:00:00","Walton","Alex","Belle Vue School","Belle Vue GP"
"Belle Vue","England","10","Female","1942-03-02 00:00:00","Parker","Charlie","Belle Vue School","Belle Vue GP"
"Belle Vue","England","11","Female","1989-07-20 00:00:00","Doyle","Demi","Belle Vue School","Belle Vue GP"
"Bowbrook","England","12","Male","1945-06-06 00:00:00","Frost","Isaac","Bowbrook School","Bowbrook GP"
"Bowbrook","England","13","Female","1968-08-24 00:00:00","Chadwick","Harriet","Bowbrook School","Bowbrook GP"
"Bowbrook","England","14","Male","1938-07-01 00:00:00","Buckley","Ewan","Bowbrook School","Bowbrook GP"
"Castlefields and Ditherington","England","15","Male","1966-09-07 00:00:00","Austin","Muhammad","Castlefields School","Castlefields GP"
"Castlefields and Ditherington","England","16","Female","1996-08-14 00:00:00","Matthews","Poppy","Castlefields School","Castlefields GP"
"Castlefields and Ditherington","England","17","Female","2005-03-20 00:00:00","Chadwick","Naomi","Ditherington School","Castlefields GP"
"Column","England","18","Female","2006-05-17 00:00:00","Bailey","Laura","Column School","Column GP"
"Column","England","19","Male","2010-10-28 00:00:00","Carr","Connor","Column School","Column GP"
"Column","England","20","Male","1977-06-07 00:00:00","Jarvis","Spencer","Column School","Column GP"
"Copthorne","England","21","Male","1995-06-18 00:00:00","Smith","Noah","Copthorne School","Copthorne GP"
"Copthorne","England","22","Female","1961-01-07 00:00:00","Godfrey","Amy","Copthorne School","Copthorne GP"
"Copthorne","England","23","Male","2019-07-22 00:00:00","Simpson","Billy","Copthorne School","Copthorne GP"
"Harlescott","England","24","Male","1950-04-19 00:00:00","Holden","Muhammad","Harlescott School","Harlescott GP"
"Harlescott","England","25","Male","2020-11-23 00:00:00","Harper","Isaac","Harlescott School","Harlescott GP"
"Harlescott","England","26","Male","1965-05-08 00:00:00","Cunningham","John","Harlescott School","Harlescott GP"
"Meole","England","27","Male","1968-03-03 00:00:00","Grant","David","Meole School","Meole GP"
"Meole","England","28","Female","2020-11-01 00:00:00","Sullivan","Tegan","Meole School","Meole GP"
"Meole","England","29","Female","2015-10-08 00:00:00","Cameron","Alice","Meole School","Meole GP"
"Monkmoor","England","30","Male","1995-06-04 00:00:00","Jackson","Bailey","Monkmoor School","Monkmoor GP"
"Monkmoor","England","31","Female","2004-07-21 00:00:00","Fleming","Summer","Monkmoor School","Monkmoor GP"
"Monkmoor","England","32","Male","1986-08-02 00:00:00","Lucas","Thomas","Monkmoor School","Monkmoor GP"
"Porthill","England","33","Female","1933-04-18 00:00:00","Nolan","Jessica","Porthill School","Porthill GP"
"Porthill","England","34","Female","2018-08-24 00:00:00","Howarth","Isabel","Porthill School","Porthill GP"
"Porthill","England","35","Female","1965-07-27 00:00:00","Hope","Daisy","Porthill School","Porthill GP"
"Quarry and Coton Hill","England","36","Male","1957-10-11 00:00:00","Hancock","Alex","Quarry School","Quarry GP"
"Quarry and Coton Hill","England","37","Female","1999-05-17 00:00:00","Freeman","Rosie","Coton Hill School","Quarry GP"
"Quarry and Coton Hill","England","38","Female","1959-10-12 00:00:00","Russell","Charlotte","Coton Hill School","Quarry GP"
"Radbrook","England","39","Female","1959-07-04 00:00:00","Tomlinson","Elizabeth","Radbrook School","Radbrook GP"
"Radbrook","England","40","Female","1938-07-07 00:00:00","Walton","Emma","Radbrook School","Radbrook GP"
"Radbrook","England","41","Female","1976-10-19 00:00:00","Sutton","Tilly","Radbrook GP"
"Sundorne","England","42","Male","1937-01-30 00:00:00","Doyle","Sam","Sundorne School","Sundorne GP"
"Sundorne","England","43","Female","1983-08-28 00:00:00","Duffy","Megan","Sundorne School","Sundorne GP"
"Sundorne","England","44","Male","1928-10-04 00:00:00","Fry","Leon","Sundorne School","Sundorne GP"
"Sutton and Reabrook","England","45","Male","1995-04-24 00:00:00","McKenzie","Harrison","Sutton School","Sutton GP"
"Sutton and Reabrook","England","46","Female","1960-05-11 00:00:00","Fry","Poppy","Reabrook School","Sutton GP"
"Sutton and Reabrook","England","47","Female","2000-08-15 00:00:00","Howard","Eve","Reabrook School","Sutton GP"
"Underdale","England","48","Female","1991-01-14 00:00:00","Marsden","Kate","Underdale School","Underdale GP"
"Underdale","England","49","Male","1982-12-01 00:00:00","Briggs","Freddie","Underdale School","Underdale GP"
"Underdale","England","50","Female","1940-07-20 00:00:00","Daly","Grace","Underdale School","Underdale GP"
